model,group,i2t_r1,i2t_r5,i2t_r10,i2t_median_rank,i2t_mean_rank,t2i_r1,t2i_r5,t2i_r10,t2i_median_rank,t2i_mean_rank
CLIP (ViT-B/32),general,0.0002,0.0008,0.0013,6661,6800.69,0.0002,0.0004,0.0011,6250,6524.47
CLIP (ViT-B/16),general,0.0001,0.0005,0.0013,6622,6761.95,0.0001,0.0003,0.0007,6233,6492.82
CLIP (ViT-B/14),general,0.0001,0.0011,0.0016,5627,6064.75,0.0001,0.0006,0.0017,5096,5655.12
MobileCLIP (B),general,0.0000,0.0006,0.0017,6179,6459.51,0.0004,0.0011,0.0018,5596,6107.75
MobileCLIP (S0),general,0.0001,0.0003,0.0007,6913,7004.25,0.0000,0.0006,0.0010,6835,6913.47
MobileCLIP (S1),general,0.0003,0.0008,0.0018,6908,6946.76,0.0001,0.0010,0.0013,6601,6748.44
MobileCLIP (S2),general,0.0004,0.0008,0.0013,6731,6804.32,0.0003,0.0006,0.0012,6091,6424.32
TinyCLIP (ViT-8M/16-Text-3M-YFCC15M),general,0.0001,0.0006,0.0009,7024,7071.75,0.0001,0.0004,0.0011,6981,7052.39
TinyCLIP (ViT-39M/16-Text-19M-YFCC15M),general,0.0000,0.0002,0.0008,6966,7021.61,0.0002,0.0008,0.0011,6756,6872.89
TinyCLIP (ViT-40M/32-Text-19M),general,0.0001,0.0004,0.0010,7106,7141.79,0.0001,0.0006,0.0010,7182,7140.34
TinyCLIP (ViT-61M/32-Text-29M),general,0.0000,0.0002,0.0007,6901,6973.72,0.0001,0.0004,0.0008,6705,6810.65
ConVIRT,medical,0.0754,0.2105,0.2990,37,341.77,0.0777,0.2145,0.3006,38,389.08
CheXzero,medical,0.0079,0.0310,0.0537,550,1235.64,0.0096,0.0335,0.0559,521,1372.64
CXR-CLIP,medical,0.0001,0.0003,0.0006,6853,6871.43,0.0000,0.0006,0.0011,6906,6946.25
MedCLIP,medical,0.0002,0.0007,0.0012,5955,6168,0.0001,0.0003,0.0007,6917,6926
MGCA (ViT),medical,0.0015,0.0066,0.0123,1717,2589.90,0.0006,0.0023,0.0048,3275,4314.67
MGCA (RES50),medical,0.0012,0.0046,0.0077,2754,3723.35,0.0004,0.0027,0.0043,3374,4401.88
